customer_id,customer_name,email_address,phone_number,date_of_birth,address_line1,city,state,postal_code,country_code,pan_number,loyalty_tier,customer_status,created_at
CUST0000001,Quincy Biswas,keernetra@example.com,9399091699,1980-09-20,"53/462, Shankar Road",Srinagar,Andhra Pradesh,768868,SG,EINGQ7991I,Silver,ACTIVE,2021-03-21T08:26:22
CUST0000002,Ekapad Konda,bhavani27@outlook.com,9808412411,1977-07-24,35/34 Suresh Circle,Faridabad,Assam,626154,GB,VXIOQ6400K,Gold,INACTIVE,2025-04-16T03:44:49
CUST0000003,Prisha Andra,borramanthan@yahoo.com,5982620450,2004-09-06,"H.No. 86, Dubey",Ujjain,Uttar Pradesh,320507,SG,VVYAZ2602Q,Silver,ACTIVE,2021-10-02T06:59:13
CUST0000004,Amara Dutta,rajabalvan@example.com,3375433036,1965-05-30,H.No. 86 Narula Circle,Bhiwandi,Himachal Pradesh,993761,US,GMBWU2940Y,Silver,ACTIVE,2025-10-16T17:14:58
CUST0000005,Rajata Vaidya,rajanranveer@example.com,0608835615,1974-03-03,46/56 Datta Road,Bidar,Sikkim,339834,GB,TZJAT6299S,Platinum,ACTIVE,2024-02-27T05:16:43
CUST0000006,Qushi Nagy,csathe@yahoo.com,8721489513,1979-12-10,"H.No. 037, Bora",Vijayanagaram,Rajasthan,862010,GB,ZPJPS9367A,Gold,ACTIVE,2023-06-15T15:29:04
CUST0000007,Pavani Kanda,zarnashetty@example.com,8317278895,1987-06-04,72/77 Kota Road,Saharsa,Meghalaya,105948,DE,TSPRV3471U,Bronze,ACTIVE,2023-12-19T23:30:45
CUST0000008,Lakshit Dora,leeladua@outlook.com,1665876036,1990-12-28,05 Ramakrishnan Road,Siwan,Telangana,904308,GB,ORBFB8937Y,Bronze,ACTIVE,2022-05-04T09:19:05
CUST0000009,Nidhi Gandhi,ndatta@yahoo.com,6990162720,1983-07-05,"55, Mall Marg",Nizamabad,Uttarakhand,124829,GB,DWOPE1708X,Platinum,ACTIVE,2023-08-27T20:19:07
CUST0000010,Azaan Kota,anmoldua@outlook.com,2719374529,1969-04-15,H.No. 904 Prashad,Davanagere,Assam,747554,SG,RMZHY9314K,Platinum,ACTIVE,2021-03-13T02:42:35
CUST0000011,Idika Walia,eprabhakar@outlook.com,0671657262,1964-05-23,69 Naidu Road,Chandigarh,Himachal Pradesh,441293,DE,NQYVB7379F,Platinum,ACTIVE,2024-05-16T17:43:57
CUST0000012,Qabil Sura,ishakuruvilla@outlook.com,4948083136,1975-02-18,77/014 Ravel Ganj,Farrukhabad,Sikkim,736176,SG,HWBVJ9578V,Platinum,ACTIVE,2021-02-19T02:02:35
CUST0000013,Sudiksha Madan,zayan31@yahoo.com,5182337498,1974-10-07,"H.No. 35, Mittal Street",Deoghar,Chhattisgarh,664024,GB,SSIOW4008F,Platinum,ACTIVE,2021-03-30T17:10:45
CUST0000014,Advik Mane,csrinivas@outlook.com,2047116719,1956-08-21,H.No. 318 Kara Marg,Hospet,Manipur,440310,DE,KNDNV4964G,Silver,ACTIVE,2023-05-09T20:54:06
CUST0000015,Siddharth Lalla,dugarwriddhish@outlook.com,8120679740,2000-05-28,H.No. 349 Sandal Ganj,Tinsukia,Haryana,192280,DE,DKYTM2421V,Silver,ACTIVE,2026-06-03T19:54:02
CUST0000016,Reva Dash,smodi@yahoo.com,4887719065,1999-12-11,"990, Baria Road",Nandyal,Mizoram,656822,GB,BOFFE7429W,Bronze,ACTIVE,2020-10-05T11:25:51
CUST0000017,Gauri Nagi,dyalforum@yahoo.com,7468071545,1989-12-31,"87/603, Pathak Circle",Mango,Tripura,883572,US,ISCSF0348H,Silver,ACTIVE,2025-04-02T08:17:22
CUST0000018,Wriddhish Dutt,,3171274846,1982-06-30,26/39 Deshpande Circle,Bally,Tripura,449188,US,ASUTL6584L,Gold,ACTIVE,2020-04-04T05:06:25
CUST0000019,Manthan Sekhon,vpai@gmail.com,7533963605,2007-08-14,"02, Narula Circle",Gandhidham,Bihar,530732,DE,APJEE8702Y,Platinum,ACTIVE,2020-07-15T19:14:18
CUST0000020,Hamsini Rao,narasimhanlajita@gmail.com,7809134316,1995-12-16,"40/050, Parmer Road",Chinsurah,Chhattisgarh,491616,IN,RYLKL3869F,Platinum,ACTIVE,2025-08-27T11:54:29
CUST0000021,Wridesh Tank,vincentshenoy@example.com,7407482175,1975-05-11,43 Subramanian Marg,Patiala,Madhya Pradesh,702737,GB,SSBQZ9594R,Bronze,ACTIVE,2026-05-04T03:21:17
CUST0000022,Chandran Taneja,victor95@gmail.com,3942104709,1997-09-15,H.No. 62 Deo Ganj,Bettiah,Mizoram,265909,SG,ZSVVZ4247H,Bronze,BLOCKED,2025-04-02T22:12:38
CUST0000023,Faqid Dhaliwal,mekhalapau@outlook.com,6048175496,1956-07-22,H.No. 985 Kant,Madhyamgram,Tamil Nadu,904378,DE,CCTFH4612G,Gold,ACTIVE,2025-01-22T05:32:29
CUST0000024,Krishna Rama,qprabhakar@yahoo.com,9261796405,1956-07-20,"H.No. 15, Parmer Circle",Sikar,Himachal Pradesh,290498,SG,QNPOM3171B,Gold,ACTIVE,2025-12-01T15:44:35
CUST0000025,Gauri Kohli,sameshbiswas@gmail.com,9335290422,1986-01-07,"02/053, Naik",Akola,Himachal Pradesh,702656,GB,HVEEC0268X,Bronze,BLOCKED,2024-05-16T00:41:13
CUST0000026,Yochana Chopra,othakur@gmail.com,8470076617,1970-03-17,21/24 Nair,Kavali,Mizoram,438044,DE,BGYSH4789P,Silver,ACTIVE,2022-07-01T21:16:35
CUST0000027,Qushi Seth,odikanori@yahoo.com,6615654527,1997-10-05,"15, Bhasin Street",Bhilai,Maharashtra,579989,US,MTWGK5604G,Gold,BLOCKED,2021-09-17T06:52:32
CUST0000028,Mohammed Subramaniam,hritikpalla@outlook.com,1493689980,1968-06-29,"H.No. 45, Ahuja Path",Asansol,Odisha,423466,US,FVHNY6120A,Bronze,ACTIVE,2025-12-24T21:54:55
CUST0000029,Harita Dugar,devika59@gmail.com,0229014767,1961-06-04,815 Choudhry Marg,Guntakal,Meghalaya,666310,GB,ZMDAN8403T,Bronze,ACTIVE,2023-07-15T08:22:40
CUST0000030,Laksh Kumer,falak10@outlook.com,6226838851,1968-02-05,"15, Sanghvi",Erode,Jharkhand,417644,US,KZNDS1605X,Platinum,ACTIVE,2022-08-12T07:54:33
CUST0000031,Rajeshri Cherian,rajatarattan@yahoo.com,6453521818,1952-06-13,23/124 Ghose Ganj,Aurangabad,Goa,243982,DE,CRKPO7799N,Bronze,ACTIVE,2020-04-14T16:09:49
CUST0000032,Diya Dora,invalid-email,4490581477,1984-02-17,H.No. 199 Rajagopalan Circle,Amaravati,Nagaland,151604,DE,UMEGJ0793D,Platinum,ACTIVE,2022-03-24T07:29:12
CUST0000033,Harshil Oza,thamanorinder@example.com,3778892554,2002-12-14,"51/518, Mander Marg",Madanapalle,West Bengal,954064,IN,QJWTP2519S,Bronze,ACTIVE,2025-09-06T21:03:19
CUST0000034,Kai Chad,krisha52@gmail.com,6850542357,1964-08-12,"H.No. 418, Vyas Circle",Naihati,Tripura,893359,US,JKLSX9296N,Bronze,ACTIVE,2024-01-07T11:32:14
CUST0000035,Raksha Bassi,rpatla@example.com,7947383473,1967-02-19,H.No. 68 Sahota Circle,Kollam,Uttar Pradesh,320544,IN,PEXJG9240T,Gold,ACTIVE,2022-11-11T18:31:20
CUST0000036,Bhavani Chacko,anjalisengupta@gmail.com,6137506068,1990-12-30,"H.No. 30, Chaudhary Path",Ulhasnagar,Chhattisgarh,116929,IN,WTECN0472A,Platinum,ACTIVE,2024-06-27T03:38:35
CUST0000037,Anirudh Kunda,masonwable@yahoo.com,1434103697,1982-05-02,"89/324, Agarwal Marg",New Delhi,Odisha,425039,IN,XEHIG6218Y,Platinum,ACTIVE,2022-07-28T03:04:29
CUST0000038,Madhavi Singhal,ramkashvi@example.com,0515319520,1992-04-15,"77/221, Bansal Chowk",Panihati,Arunachal Pradesh,116619,GB,GZIEQ3054C,Gold,ACTIVE,2021-07-30T09:03:56
CUST0000039,Bhavika Parikh,narulaanjali@outlook.com,5667652775,2000-08-26,H.No. 692 Memon Circle,Kota,Assam,109724,US,MTBKS5447C,Silver,ACTIVE,2025-04-08T01:25:10
CUST0000040,Sanya Basak,radhika40@gmail.com,6582029702,2003-06-28,90 Dube,Uluberia,Kerala,941356,US,HXZUP7192R,Gold,ACTIVE,2024-08-26T05:44:01
CUST0000041,Ishaan Bal,xalakvasa@example.com,8144739473,1965-06-20,715 Bhattacharyya Path,Dewas,West Bengal,283120,SG,OHMYI2258P,Silver,ACTIVE,2024-02-04T03:58:58
CUST0000042,Atharv Patel,unni82@outlook.com,1467866912,1952-09-09,85/289 Dayal Street,Ambala,West Bengal,621724,US,TKKUT0182O,Gold,ACTIVE,2024-03-08T09:39:17
CUST0000043,Zilmil Mander,krishnaronith@yahoo.com,2498182992,1952-07-22,00/10 Lanka,Aurangabad,Maharashtra,921316,IN,SPTEP9078Z,Gold,ACTIVE,2025-04-11T01:14:45
CUST0000044,Chameli Setty,bhasinnakul@outlook.com,6773592555,1986-07-29,"H.No. 37, Loke Zila",Shahjahanpur,Chhattisgarh,148758,SG,NAPKU1046K,Platinum,BLOCKED,2025-11-21T06:10:48
